Fault,Easting,Northing,ZTopLeft,ThicknessLeft1,ThicknessLeft2,ZTopRight,ThicknessRight1,ThicknessRight2,DipAzimuth,Dip,
mFS11_Fault_7,248742,592450,-2893.29,74.3694,148.8573,-2826.9,74.2144,148.5422,251.633,73.9603,
mFS11_Fault_7,248729,592489,-2892.24,74.4186,148.9593,-2826.87,74.2629,148.6433,252.958,73.7076,
mFS11_Fault_7,248718,592528,-2890.95,74.4656,149.0568,-2826.95,74.3099,148.7406,254.754,73.5537,
mFS11_Fault_7,248708,592567,-2889.39,74.5107,149.1498,-2826.6,74.3552,148.8336,255.945,73.4353,
mFS11_Fault_7,248699,592607,-2887.34,74.5541,149.2387,-2825.5,74.3988,148.9229,256.85,73.3684,
mFS11_Fault_7,248691,592646,-2885.01,74.5967,149.3252,-2823.66,74.4415,149.0098,257.378,73.3631,
mFS11_Fault_7,248683,592686,-2883.22,74.6398,149.4114,-2821.3,74.4841,149.0958,257.191,73.4396,
mFS11_Fault_7,248674,592726,-2882.93,74.6849,149.5006,-2818.73,74.5283,149.1834,256.024,73.6371,
mFS11_Fault_7,248664,592765,-2885.43,74.7331,149.5952,-2816.23,74.5746,149.274,254.972,73.9954,
mFS11_Fault_7,248652,592803,-2892.53,74.785,149.6966,-2814.08,74.6227,149.3677,254.165,74.4564,
mFS11_Fault_7,248640,592841,-2905.35,74.8408,149.8051,-2812.44,74.6721,149.4636,253.705,74.9736,
mFS11_Fault_7,248627,592879,-2921.72,74.8983,149.9173,-2811.38,74.7222,149.5612,253.617,75.5185,
mFS11_Fault_7,248613,592917,-2937.52,74.9551,150.028,-2810.84,74.7729,149.6594,253.604,76.0933,
mFS11_Fault_7,248600,592956,-2950.26,75.0096,150.1339,-2810.67,74.8234,149.7573,254.114,76.6726,
mFS11_Fault_7,248588,592994,-2959.3,75.0611,150.2344,-2810.91,74.8724,149.8532,255.095,77.1729,
mFS11_Fault_7,248578,593033,-2965.41,75.1089,150.3289,-2811.75,74.9188,149.9452,256.682,77.5329,
mFS11_Fault_7,248568,593072,-2969.69,75.1534,150.418,-2813.3,74.9623,150.0323,258.414,77.7253,
mFS11_Fault_7,248560,593112,-2973.18,75.1954,150.5031,-2815.43,75.0035,150.1154,259.156,77.7797,
mFS11_Fault_7,248552,593151,-2976.27,75.2358,150.5856,-2817.68,75.0428,150.1957,259.884,77.7664,
mFS11_Fault_7,248545,593191,-2978.65,75.2747,150.6653,-2819.72,75.0805,150.273,260.596,77.6839,
mFS11_Fault_7,248538,593231,-2980.35,75.312,150.7424,-2821.52,75.1163,150.3473,261.345,77.5397,
mFS11_Fault_7,248531,593270,-2981.95,75.348,150.8175,-2823.24,75.1509,150.4196,261.755,77.3565,
